Repository,Component Type,Ecosystem,Name,Version,Dependency Scope,Relationship,License,Copyright,PURL or Reference,Metadata Source,Notes
Regensburg_DigitalerEnergieZwilling_EnergyCalculationCore,library,first-party,@csi-foxbyte/regensburg_digitalerenergiezwilling_energycalculationcore,0.19.0,runtime,root component,LGPL-3.0-or-later,Copyright (c) 2026 csi FOXBYTE,pkg:npm/%40csi-foxbyte/regensburg_digitalerenergiezwilling_energycalculationcore@0.19.0,Regensburg_DigitalerEnergieZwilling_EnergyCalculationCore/package.json and NOTICE,Published first-party npm library.
Regensburg_DigitalerEnergieZwilling_EnergyCalculationCore,library,npm,zod,3.25.76,runtime,direct runtime peer dependency,MIT,Copyright (c) 2025 Colin McDonnell,pkg:npm/zod@3.25.76,Regensburg_DigitalerEnergieZwilling_EnergyCalculationCore/pnpm-lock.yaml and installed package metadata,Generated from the resolved peer-dependency graph and local package metadata.
